solution,title,source,url
Minergie A Building,Minergie homes are booming in Switzerland,Swissinfo,https://www.swissinfo.ch/eng/society/living-in-switzerland--2-of-5-_minergie-homes-are-booming-in-switzerland/45092536
Minergie A Building,CleanTechnica,Passivhaus 101,https://cleantechnica.com/2018/03/10/passivhaus-101-passive-house-definition-explanation-examples/
Minergie A Building,"Gas cookers pump out pollutants linked to childhood asthma, report finds",The Guardian,https://www.theguardian.com/environment/2023/nov/08/gas-cookers-pump-out-toxic-particles-linked-to-childhood-asthma-report-finds
Minergie A Building,The Health Risks of Gas Stoves Explained,Scientific America,https://www.scientificamerican.com/article/the-health-risks-of-gas-stoves-explained/
Minergie A Building,Gas Stoves Are Tied to Health Concerns.,The New York Times,https://www.nytimes.com/2023/01/11/well/live/gas-stoves-health-risks.html
Minergie A Building,The Truth About Gas Stoves,State of the Planet,https://news.climate.columbia.edu/2023/04/25/the-truth-about-gas-stoves/
No Cooking with Gas,"Do Gas Stoves Have Health Risks? ",The New York Times,https://www.nytimes.com/2023/01/11/well/live/gas-stoves-health-risks.html
No Cooking with Gas,Why induction cooktops are better than cooking with gas,The Canberra Times,https://www.canberratimes.com.au/story/8276941/the-rise-of-induction-cooktops-now-were-cooking-without-gas/
No Cooking with Gas,Fossil Fuel Use Increasing,The New York Times,https://www.nytimes.com/2023/11/08/climate/fossil-fuels-expanding.html
No Cooking with Gas,"As heat records break, the climate movement has the right answers – but the words are all wrong",The Guardian,https://www.theguardian.com/commentisfree/2023/jul/14/big-oil-climate-crisis-fossil-fuel-public
No Cooking with Gas,Canada's energy minister defends carbon tax carve-out for heating oil,Reuters,https://www.reuters.com/sustainability/climate-energy/canadas-energy-minister-defends-carbon-tax-carve-out-heating-oil-2023-11-06/
No Cooking with Gas,A guide on how to remove an old oil tank,The Maine Monitor,https://themainemonitor.org/a-guide-on-how-to-remove-an-old-oil-tank/
No Heating with Oil,Minister Fraser Announces Oil to Heat Pump Co-Delivery Program,Yahoo Finance,https://finance.yahoo.com/news/minister-fraser-announces-oil-heat-183300471.html
No Heating with Oil,"In Pennsylvania, heat pumps could be a climate change solution",90.5 WESA,https://www.wesa.fm/environment-energy/2023-01-24/in-pennsylvania-heat-pumps-could-be-a-climate-change-solution
No Heating with Oil,Renewable Energy Is the Key to Building a More Resilient and Reliable Electricity Grid,Center for American Progress,https://www.americanprogress.org/article/renewable-energy-is-the-key-to-building-a-more-resilient-and-reliable-electricity-grid/
No Heating with Oil,A Package of Bold Laws Puts Michigan on a Fast Track to Renewable Energy,The New York Times,https://www.nytimes.com/2023/11/08/climate/michigan-climate-laws-energy.html
No Heating with Oil,From rewilded coal mines to mega wind farms,Euronews.com,https://www.euronews.com/green/2023/10/16/here-are-all-the-positive-environmental-stories-from-2023-so-far
No Heating with Oil,Our work on clean power,Ember Climate,https://ember-climate.org/about/our-work-on-clean-power/
Clean Electricity,Michigan Poised to Join States Requiring 100 Percent Clean Electricity,Inside Climate News,https://insideclimatenews.org/news/07112023/michigan-clean-energy-laws-whitmer/
Clean Electricity,Uganda's clean electricity supply and policy efforts can deliver further progress towards its energy and climate targets,International Energy Agency,https://www.iea.org/news/uganda-s-clean-electricity-supply-and-policy-efforts-can-deliver-further-progress-towards-its-energy-and-climate-targets
Clean Electricity,Low-Carbon Electricity,TotalEnergies.com,https://totalenergies.com/company/transforming/multi-energy-offer/low-carbon-electricity
Clean Electricity,Climate change: China's green power surge offers hope on warming,BBC,https://www.bbc.com/news/science-environment-66043485
Clean Electricity,Renewables - Energy System,International Energy Agency,https://www.iea.org/energy-system/renewables
Clean Electricity,Climate change will affect solar power and grid stability across Australia,UNSW Newsroom,https://newsroom.unsw.edu.au/news/science-tech/climate-change-will-affect-solar-power-and-grid-stability-across-australia-–-here
Renewable Electricity,How Thailand is moving toward a more flexible energy mix,Spectra,https://spectra.mhi.com/how-thailand-is-moving-toward-a-more-flexible-energy-mix
Renewable Electricity,"In Uzbekistan, a Nascent Push for Green Energy",The Diplomat,https://thediplomat.com/2023/10/in-uzbekistan-a-nascent-push-for-green-energy/
Renewable Electricity,The United States Harnesses Solar and Wind Energy to Combat Climate Change,evwind.es,https://www.evwind.es/2023/11/09/the-united-states-harnesses-solar-and-wind-energy-to-combat-climate-change/94820
Renewable Electricity,"To triple renewable energy, the Global South needs finance",Climate Home News,https://climatechangenews.com/2023/10/30/to-triple-renewable-energy-the-global-south-needs-finance/
Renewable Electricity,UN call for transition to green energy finds no traction in Africa,Anadolu Ajansı,https://www.aa.com.tr/en/africa/un-call-for-transition-to-green-energy-finds-no-traction-in-africa/2984193
Renewable Electricity,Renewable Energy,Climate Action Network,https://climatenetwork.org/our-work/renewable-energy/
Solar Pannels,12 Ways Architects Can Combat Climate Change,Renewable Energy Magazine,https://www.renewableenergymagazine.com/rose-morrison/12-ways-architects-can-combat-climate-change-20231109
Solar Pannels,Solar Power Will Allow Europeans to Go Off Grid – Independent,Asia Financial,https://www.asiafinancial.com/solar-power-will-allow-many-europeans-to-go-off-grid-independent
Solar Pannels,Why the media ignores meat’s role in climate change,Vox,https://www.vox.com/future-perfect/23778399/media-ignores-climate-change-beef-meat-dairy
Solar Pannels,Get Used to Oat Milk Because Climate Change Is Destroying the Dairy Industry,VegNews,https://vegnews.com/2023/7/dairy-cows-climate-crisis-factory-farms
Solar Pannels,The Paris Agreement Will Fail Without Slashing Methane Emissions From Dairy and Meat,Inside Climate News,https://insideclimatenews.org/news/07032023/the-paris-agreement-will-fail-without-slashing-methane-emissions-from-dairy-and-meat-researchers-say/
Solar Pannels,"New Zealand plans to tax agricultural emissions, in world-first plan",The Washington Post,https://www.washingtonpost.com/climate-solutions/interactive/2023/new-zealand-cows-burps-methane-tax/
No Beef & Diary,What is the lowest-carbon protein?,BBC,https://www.bbc.com/future/article/20221214-what-is-the-lowest-carbon-protein
No Beef & Diary,"Paint it Green: Meat & Dairy's Top Greenwashing Tactics, Exposed",Green Queen,https://www.greenqueen.com.hk/meat-dairy-greenwashing-tactics/
No Beef & Diary,"Vegan diet massively cuts environmental damage, study shows",The Guardian,https://www.theguardian.com/environment/2023/jul/20/vegan-diet-cuts-environmental-damage-climate-heating-emissions-study
No Beef & Diary,Veganism: fad or future?,Epigram,https://epigram.org.uk/2023/11/09/veganism-future-or-a-fad/
No Beef & Diary,"Vegan diets cause far less climate pollution, study shows. Here's what to know in Tennessee.",WPLN News,https://wpln.org/post/vegan-diets-cause-far-less-climate-pollution-study-shows-heres-what-to-know-in-tennessee/
No Beef & Diary,"Becoming a halfway vegan could curb climate change, scientists claim",Daily Mail,https://www.dailymail.co.uk/sciencetech/article-12509797/Becoming-halfway-vegan-curb-climate-change-scientists-claim.html
Vegan,World Vegan Day: How having a plant-based diet is a climate change solution,NBC 6 South Florida,https://www.nbcmiami.com/news/local/world-vegan-day-how-having-a-plant-based-diet-is-a-climate-change-solution/3148607/
Vegan,Environmental Impact Assessment: Vegetarian diet might not curb climate change,Taipei Times,https://www.taipeitimes.com/News/feat/archives/2023/11/08/2003808847
Vegan,"Vegans, vegetarians, fish-eaters and meat-eaters in the UK show discrepant environmental impacts",Nature,https://www.nature.com/articles/s43016-023-00795-w
Vegan,"Australians unlikely to give up meat, become vegetarian to help environment, study shows",ABC,https://www.abc.net.au/news/2023-11-06/la-trobe-univerity-meat-consumption-study/103065134
Vegan,"No appetite for vegetarian diet to help the planet, finds study",Phys.org,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=newssearch&cd=&ved=2ahUKEwjGppziqbyCAxV-hv0HHZiEAdQQxfQBKAB6BAgMEAE&url=https%3A%2F%2Fphys.org%2Fnews%2F2023-11-appetite-vegetarian-diet-planet.html&usg=AOvVaw1J3Uev0pasqH6ZQkrAB0c6&opi=89978449
Vegan,COP28: UN Climate Summit Confirms Two-Thirds of Food Will Be Meatless This Year,Green Queen,https://www.greenqueen.com.hk/cop28-un-climate-summit-confirms-two-thirds-of-food-will-be-meatless-this-year/
Vegetarian,"Save the Planet, Put Down that Hamburger",The New York Times,https://www.nytimes.com/2023/07/21/climate/diet-vegan-meat-emissions.html
Vegetarian,"To convince diners to try vegetarian food, a hospital focuses on the climate",NPR,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=newssearch&cd=&ved=2ahUKEwi7s9u4qryCAxWp7rsIHTHpDa8QxfQBKAB6BAgJEAE&url=https%3A%2F%2Fwww.npr.org%2Fsections%2Fhealth-shots%2F2023%2F08%2F11%2F1193305476%2Fdont-call-it-vegan-and-other-tips-from-hospitals-to-get-people-to-eat-less-meat&usg=AOvVaw1lxau9N7o8JCC7QOs_9Onq&opi=89978449
Vegetarian,UAE asks state entities to buy local in food security push,Reuters,https://www.reuters.com/world/middle-east/uae-asks-state-entities-buy-local-food-security-push-minister-2022-12-11/
Vegetarian,Climate change turns up the heat on supply chains,Financial Times,https://www.ft.com/content/20096903-5523-42ff-9d95-e9ca3d5e72b0
Vegetarian,Is eating local produce actually better for the planet?,The Guardian,https://www.theguardian.com/environment/2023/jun/07/is-eating-local-better-environment
Vegetarian,"Eat Local If You Want, But Not For Climate Reasons",Forbes,https://www.forbes.com/sites/christinero/2023/01/27/eat-local-if-you-want-but-not-for-climate-reasons/
Buy Local,Is Buying Local Always The Most Sustainable Option?,Green Queen,https://www.greenqueen.com.hk/buying-local-most-sustainable/
Buy Local,Cooked: Does eating local really reduce your impact on climate change?,WBUR,https://www.wbur.org/news/2022/08/30/cooked-newsletter-buying-local-food-sustainable
Buy Local,Converting an old home into an energy showcase,Swissinfo,https://www.swissinfo.ch/eng/sci-tech/renewables_converting-an-old-home-into-an-energy-showcase/41291044
Buy Local,Why most Swiss buildings are environmentally inefficient,Swissinfo,https://www.swissinfo.ch/eng/society/climate-crisis_why-it-may-take-100-years-to-renovate-every-building-in-switzerland/45481906
Buy Local,More Than a Building: Olympic House Wins Prestigious Architecture Awards,CSRwire,https://www.csrwire.com/press_releases/45558-more-than-a-building-olympic-house-wins-prestigious-architecture-awards
Buy Local,Designing urban energy systems based on the urban climate,Phys.org,https://phys.org/news/2018-04-urban-energy-based-climate.html
Offset Consumption,"When searching for a flight, be wary of offers to add your climate impact to the ticket price",CNBC,https://www.cnbc.com/2022/12/17/airlines-can-price-climate-change-into-a-plane-ticket-dont-buy-it.html
Offset Consumption,Q&A: How African countries can utilise carbon credits and offsets,News24,https://www.news24.com/news24/africa/news/qa-how-african-countries-can-utilise-carbon-credits-and-offsets-20230720
Offset Consumption,"As use of carbon offsets rises, some wonder about their value",WFAE,https://www.wfae.org/energy-environment/2023-10-12/as-use-of-carbon-offsets-rises-some-wonder-about-their-value
Offset Consumption,In-depth Q&A: Can 'carbon offsets' help to tackle climate change?,Carbon Brief,https://interactive.carbonbrief.org/carbon-offsets-2023/
Offset Consumption,Global CO2 emissions rose less than initially feared in 2022 as clean energy growth offset much of the impact,International Energy Agency,https://www.iea.org/news/global-co2-emissions-rose-less-than-initially-feared-in-2022-as-clean-energy-growth-offset-much-of-the-impact-of-greater-coal-and-oil-use
Offset Consumption,How Do Carbon Offsetting Projects Work?,CarbonCredits.com,https://carboncredits.com/how-do-carbon-offsetting-projects-work/
Reduce & Reuse,"Reuse Now: Construction, climate change and the circular economy",PBC Today,https://www.pbctoday.co.uk/news/energy-news/reuse-now-construction-climate-change/133725/
Reduce & Reuse,"Plastic action or distraction? As climate change bears down, calls to reduce plastic pollution are not wasted",The Conversation,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=newssearch&cd=&ved=2ahUKEwjYxv7Iqr6CAxVegP0HHaFrCuIQxfQBKAB6BAgPEAE&url=https%3A%2F%2Ftheconversation.com%2Fplastic-action-or-distraction-as-climate-change-bears-down-calls-to-reduce-plastic-pollution-are-not-wasted-202780&usg=AOvVaw0_7J1JMfCP5PZdw5vC5-oz&opi=89978449
Reduce & Reuse,The circular economy: Sustainable solutions to solve planetary overshoot?,Mongabay,https://news.mongabay.com/2023/07/the-circular-economy-sustainable-solutions-to-solve-planetary-overshoot/
Reduce & Reuse,"Reduce, reuse, recycle:",News4JAX,https://www.news4jax.com/news/local/2023/04/21/reduce-reuse-recycle-celebrating-earth-day-on-april-22/
Reduce & Reuse,"Reduce, Reuse, Recycle: Why All 3 R’s Are Critical to a Circular Economy",Scientific American,https://www.scientificamerican.com/article/reduce-reuse-recycle-why-all-3-rs-are-critical-to-a-circular-economy/
Reduce & Reuse,"Opinion - Reduce, reuse and recycle for a green Namibia",New Era Newspaper,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=newssearch&cd=&ved=2ahUKEwi0h7_-rL6CAxUUgf0HHdQgDNs4ChDF9AEoAHoECA0QAQ&url=https%3A%2F%2Fneweralive.na%2Fposts%2Fopinion-reduce-reuse-and-recycle-for-a-green-namibia&usg=AOvVaw04WkFWjYgKUa-KfSskqb1v&opi=89978449
Boycott Climate Offenders,"Carbon pollution from Australia's 'Dirty Dozen' more than half the Pacific Islands' emissions, new report reveals",Climate Council,https://www.climatecouncil.org.au/resources/carbon-pollution-from-australias-dirty-dozen-more-than-half-pacific-islands-emissions-new-report-reveals/
Boycott Climate Offenders,"NGO Study IDs Vanguard, BlackRock as Big Climate-Change Villains",AI CIO,https://www.ai-cio.com/news/ngo-study-ids-vanguard-blackrock-big-climate-change-villains/
Boycott Climate Offenders,‘World’s money is flowing in the wrong direction’: Funding of fossil fuels eclipses climate finance,Euronews,https://www.euronews.com/green/2023/09/04/worlds-money-is-flowing-in-the-wrong-direction-funding-of-fossil-fuels-eclipses-climate-fi
Boycott Climate Offenders,Revealed: the 20 firms behind a third of all carbon emissions,The Guardian,https://www.theguardian.com/environment/2019/oct/09/revealed-20-firms-third-carbon-emissions
Boycott Climate Offenders,Pull your weight: Australia’s biggest polluters on notice,Climate Council,https://www.climatecouncil.org.au/resources/australias-biggest-polluters-on-notice/
Boycott Climate Offenders,10 Companies Called Out For Greenwashing,Earth.Org,https://earth.org/greenwashing-companies-corporations/
Buy only climate-friendly,As Colorado Races to Set New Rules for Climate-Friendly Industries,Capital & Main,https://capitalandmain.com/as-colorado-races-to-set-new-rules-for-climate-friendly-industries-its-plan-raises-concerns-over-dual-role-of-state-regulator
Buy only climate-friendly,The world just got a climate-friendly cement fit to build,Washington Post,https://www.washingtonpost.com/climate-solutions/2023/07/13/green-concrete-cement-climate-brimstone/
Buy only climate-friendly,Maersk purchases 25 Volvo e-trucks for climate-friendly container transports in Germany,Maersk,https://www.maersk.com/news/articles/2023/06/14/maersk-purchases-25-volvo-e-trucks-for-climate-friendly-container-transports-in-germany
